1,VexTheWarlock,334.354,725,T,J
2,SilasStormblade,192.981,955,M,J
3,JinxedArrow,286.28,546,J,M
4,IroncladMike,127.396,251,T,J
5,MysticBloom,261.841,593,S,A
6,Swiftstrike,224.032,767,A,S
7,AlphaSpecter,226.565,1111,J,A
8,CrimsonTalon,188.317,396,M,T
9,GhostPepper_,88.5275,221,A,S
10,LunarEchoes,155.366,219,S,J
11,ZenithKing,288.253,5,T,A
12,RogueWaveXD,181.254,182,J,S
13,HyperionPrime,340.102,612,M,A
14,ToxicLlama,6.91797,458,A,T
15,PixelSage,209.152,872,S,M
16,Doomhammer01,103.615,285,T,J
17,Whisperwind,399.623,1022,J,M
18,StaticShift,112.419,532,M,S
19,FortyTwoHz,147.902,259,A,T
20,HealerBot_47,189.523,908,S,J
21,SteelCurtain,27.8013,1073,T,S
22,MadJester_,398.916,147,J,A
23,VoidWalker,102.178,217,M,T
24,GamerTag_99,111.895,132,A,S
25,AzureFlame,210.722,649,S,M
26,TheBrimstone,88.0404,1080,T,J
27,ShadowDrift,56.9041,212,J,A
28,CodeBreaker,382.928,155,M,S
29,NocturneADC,205.401,870,A,T
30,SupportiveSnail,25.7434,161,S,J
31,ElCapitanoTop,226.93,443,T,M
32,JungleBoi88,279.571,650,J,S
33,MidLaneMaestro,221.913,401,M,A
34,KiteAndSmite,72.0765,1509,A,J
35,WardPlacementPro,159.47,307,S,T
36,TheDreadnought,386.52,21,T,M
37,FlankingFairy,228.696,536,J,A
38,ZAP_Gamer,142.008,191,M,S
39,FinalBoss_7,50.6086,177,A,T
40,SilverShield,93.0816,702,S,J
41,TankMasterFlex,329.471,133,T,A
42,GankingGuru,121.673,348,J,M
43,SpellSlinger,248.386,319,M,A
44,CannonMinion,131.463,234,A,S
45,UtilityBelt,380.529,608,S,T
46,PentaKillPete,69.1053,600,T,J
47,BushCamper,301.404,586,J,S
48,AfkFarmGod,93.934,318,M,T
49,CaliPanda,306.969,793,A,J
50,SenpaiSupp,312.887,311,S,M
51,TheBaronSlayer,308.966,281,T,S
52,InvadeOrAFK,218.248,467,J,A
53,LaneBully_M,382.295,1061,M,T
54,CritMachine,64.5999,414,A,J
55,AuraSupport,345.289,707,S,A
56,TowerDiver,171.988,748,T,M
57,PathingIsKey,137.284,46,J,S
58,RoamingRanger,143.786,387,M,J
59,HyperCarryKid,314.896,571,A,T
60,TheWardingTree,135.092,900,S,M
61,TopDiffSolo,349.369,390,T,A
62,SmiteStealer,51.9968,141,J,S
63,MidOrFeedDuo,1.86456,971,M,J
64,EzPzLemonSqzy,103.164,343,A,M
65,PeelMePlease,394.447,702,S,T
66,BruiserBuddy,181.875,449,T,A
67,JungleGapGG,73.903,1046,J,M
68,ZhonyaRush,316.954,247,M,S
69,OneShotWonder,200.409,1717,A,J
70,EnchanterMain,195.83,338,S,T
71,TheSplitPusher,212.975,612,T,S
72,ObjectiveSecurer,336.571,199,J,A
73,TheCarryPotato,281.336,556,M,T
74,FarmForDays,369.947,156,A,S
75,GuardianAngel,320.388,399,S,M
76,TanksAreFun,64.746,515,T,J
77,MyHandsAreCold,313.52,0,J,S
78,LaneDominator,130.185,102,M,A
79,ADC_Diff,170.21,885,A,T
80,HookMaster,237.913,900,S,J
81,TPForKills,106.342,94,T,M
82,DeepVision,177.151,579,J,A
83,CleanseExpert,266.797,540,M,S
84,LastHitLegend,103.042,279,A,T
85,PillowFighter,237.292,212,S,J
86,TeleportKing,32.5503,785,T,A
87,JgGaps,78.2867,1316,J,M
88,FedMidlaner,173.4,253,M,A
89,AFK_ADC,218.82,833,A,S
90,RoamingWarden,196.695,88,S,T
91,SunfireCape,391.988,0,T,J
92,SmiteAndWin,200.031,1159,J,S
93,TheGrievous,244.708,202,M,T
94,ZoomAndBoom,351.122,903,A,J
95,MuteAllChat,377.327,633,S,M
96,SplitPushGod,251.929,147,T,A
97,InvadeKing,393.4,573,J,M
98,TwitchRival,2.66823,818,M,S
99,AutoAttackADC,92.3997,173,A,T
100,ShieldMePlz,229,323,S,J
101,TopLaneTerror,143.957,665,T,J
102,SkilledJungle,185.285,165,J,M
103,MidGod_EUW,216.945,750,M,S
104,LastHitLover,114.635,428,A,T
105,CC_Master,62.2863,99,S,A
106,BlinkStrike,246.437,505,T,M
107,EpicSmite,171.233,290,J,S
108,TheMidBeast,282.03,796,M,A
109,PewPewLaser,134.106,280,A,J
110,HealForDays,304.801,794,S,T
111,SoloCarryKing,369.375,89,T,A
112,GankOrDie,170.928,258,J,M
113,ComboQueen,193.37,738,M,S
114,FlashAndKill,214.205,486,A,T
115,PinkWardHero,190.229,206,S,J
116,InvincibleTank,235.222,624,T,S
117,ObjectiveKing,114.623,105,J,A
118,TheZoner,33.9994,79,M,T
119,HighDamageXD,207.216,744,A,S
120,VisionaryPro,290.81,818,S,M
121,OffMetaTop,31.1013,369,T,J
122,BaronBuster,23.2228,260,J,A
123,SilenceStorm,260.611,862,M,S
124,SixItemADC,361.204,504,A,S
125,TheAnchor,241.798,1571,S,M
126,ProxyFarmer,370.666,1016,T,J
127,RiftHeraldBoss,317.307,336,J,M
128,LaneFreeze,342.525,161,M,S
129,FocusTheTank,271.497,127,A,T
130,TeamFightWiz,274.128,748,S,J
131,BruiserMain,90.768,695,T,A
132,MapAwareness,195.976,262,J,S
133,AP_Carry_Mid,338.044,200,M,T
134,CritChance_90,172.049,473,A,J
135,Support_GG,376.279,6,S,M
136,ImmortalTurtle,181.742,617,T,J
137,JungleTrackr,301.733,381,J,A
138,SynergyMid,356.76,699,M,S
139,AdrenalineRush,78.8225,219,A,T
140,TheTactician,49.2814,693,S,J
141,TopIsEasy,149.059,417,T,S
142,CounterGankr,171.452,728,J,A
143,AssassinateMe,268.124,771,M,T
144,TrueDamageOnly,288.983,116,A,S
145,BraumIsMyGod,277.829,801,S,M
146,TheFedOne,197.364,517,T,J
147,JunglerDiff_,61.032,639,J,A
148,MidGapHere,370.191,501,M,S
149,KDA_Player,49.8658,522,A,T
150,TankKiller,62.0184,360,S,J
151,DoranShield,54.5661,613,T,A
152,NocturnalHunter,262.438,79,J,M
153,PokeMaster,60.131,844,M,S
154,CleanUpCrew,260.148,440,A,T
155,JustPeel,105.185,679,S,J
156,TeleportFlank,165.132,125,T,M
157,FlashOverWall,204.768,1351,J,S
158,RoamingSupport,219.076,137,M,A
159,OnePunchMan,394.326,665,A,T
